customer_id,invoice_month,target,day_of_week,week_of_year,month,avg_target,max_target,min_target,count_records,lag_1,rolling_3_mean
12346,1/1/2011,0,5,52,1,0,0,0,1,0,0
12347,12/1/2010,711.79,2,48,12,615.7142857142857,1294.32,224.82,7,0,0
12347,1/1/2011,475.39,5,52,1,615.7142857142857,1294.32,224.82,7,711.79,0
12347,4/1/2011,636.25,4,13,4,615.7142857142857,1294.32,224.82,7,475.39,0
12347,6/1/2011,382.52,2,22,6,615.7142857142857,1294.32,224.82,7,636.25,607.81
12347,8/1/2011,584.9100000000001,0,31,8,615.7142857142857,1294.32,224.82,7,382.52,498.0533333333333
12347,10/1/2011,1294.32,5,39,10,615.7142857142857,1294.32,224.82,7,584.9100000000001,534.5600000000001
12347,12/1/2011,224.82,3,48,12,615.7142857142857,1294.32,224.82,7,1294.32,753.9166666666666
12348,12/1/2010,892.8,2,48,12,449.31,892.8,227.44,4,0,0
12348,1/1/2011,227.44,5,52,1,449.31,892.8,227.44,4,892.8,0
12348,4/1/2011,367,4,13,4,449.31,892.8,227.44,4,227.44,0
12348,9/1/2011,310,3,35,9,449.31,892.8,227.44,4,367,495.74666666666667
12349,11/1/2011,1757.55,1,44,11,1757.55,1757.55,1757.55,1,0,0
12350,2/1/2011,334.4,1,5,2,334.4,334.4,334.4,1,0,0
12352,2/1/2011,296.5,1,5,2,386.35249999999996,632.5,296.5,4,0,0
12352,3/1/2011,304.67999999999995,1,9,3,386.35249999999996,632.5,296.5,4,296.5,0
12352,9/1/2011,632.5,3,35,9,386.35249999999996,632.5,296.5,4,304.67999999999995,0
12352,11/1/2011,311.73,1,44,11,386.35249999999996,632.5,296.5,4,632.5,411.22666666666663
12353,5/1/2011,89,6,17,5,89,89,89,1,0,0
12354,4/1/2011,1079.4,4,13,4,1079.4,1079.4,1079.4,1,0,0
12355,5/1/2011,459.4,6,17,5,459.4,459.4,459.4,1,0,0
12356,1/1/2011,2271.62,5,52,1,937.1433333333333,2271.62,58.35,3,0,0
12356,4/1/2011,481.46,4,13,4,937.1433333333333,2271.62,58.35,3,2271.62,0
12356,11/1/2011,58.35,1,44,11,937.1433333333333,2271.62,58.35,3,481.46,0
12357,11/1/2011,6207.67,1,44,11,6207.67,6207.67,6207.67,1,0,0
12358,7/1/2011,484.86,4,26,7,584.03,683.2,484.86,2,0,0
12358,12/1/2011,683.2,3,48,12,584.03,683.2,484.86,2,484.86,0
12359,1/1/2011,547.5,5,52,1,1040.9216666666666,2876.85,-91.25,6,0,0
12359,2/1/2011,1838.91,1,5,2,1040.9216666666666,2876.85,-91.25,6,547.5,0
12359,4/1/2011,-35.8,4,13,4,1040.9216666666666,2876.85,-91.25,6,1838.91,0
12359,6/1/2011,1109.32,2,22,6,1040.9216666666666,2876.85,-91.25,6,-35.8,783.5366666666665
12359,10/1/2011,2876.85,5,39,10,1040.9216666666666,2876.85,-91.25,6,1109.32,970.81
12359,12/1/2011,-91.25,3,48,12,1040.9216666666666,2876.85,-91.25,6,2876.85,1316.79
12360,5/1/2011,1083.58,6,17,5,887.3533333333334,1083.58,534.7,3,0,0
12360,8/1/2011,534.7,0,31,8,887.3533333333334,1083.58,534.7,3,1083.58,0
12360,10/1/2011,1043.78,5,39,10,887.3533333333334,1083.58,534.7,3,534.7,0
12361,2/1/2011,189.9,1,5,2,189.9,189.9,189.9,1,0,0
12362,2/1/2011,474.2,1,5,2,644.3225,1641.91,303.76,8,0,0
12362,4/1/2011,495.24,4,13,4,644.3225,1641.91,303.76,8,474.2,0
12362,7/1/2011,303.76,4,26,7,644.3225,1641.91,303.76,8,495.24,0
12362,8/1/2011,451.35,0,31,8,644.3225,1641.91,303.76,8,303.76,424.39999999999986
12362,9/1/2011,829.99,3,35,9,644.3225,1641.91,303.76,8,451.35,416.78333333333313
12362,10/1/2011,1641.91,5,39,10,644.3225,1641.91,303.76,8,829.99,528.3666666666664
12362,11/1/2011,429.09,1,44,11,644.3225,1641.91,303.76,8,1641.91,974.4166666666665
12362,12/1/2011,529.04,3,48,12,644.3225,1641.91,303.76,8,429.09,966.9966666666666
12363,4/1/2011,299.1,4,13,4,276,299.1,252.9,2,0,0
12363,8/1/2011,252.9,0,31,8,276,299.1,252.9,2,299.1,0
12364,8/1/2011,623.92,0,31,8,328.275,623.92,79.8,4,0,0
12364,9/1/2011,79.8,3,35,9,328.275,623.92,79.8,4,623.92,0
12364,10/1/2011,299.06,5,39,10,328.275,623.92,79.8,4,79.8,0
12364,12/1/2011,310.32,3,48,12,328.275,623.92,79.8,4,299.06,334.2599999999998
12365,2/1/2011,320.69,1,5,2,320.69,320.69,320.69,1,0,0
12367,12/1/2011,168.9,3,48,12,168.9,168.9,168.9,1,0,0
12370,12/1/2010,1868.02,2,48,12,1181.8966666666668,1868.02,739.28,3,0,0
12370,3/1/2011,938.39,1,9,3,1181.8966666666668,1868.02,739.28,3,1868.02,0
12370,10/1/2011,739.28,5,39,10,1181.8966666666668,1868.02,739.28,3,938.39,0
12371,10/1/2011,1887.96,5,39,10,1887.96,1887.96,1887.96,1,0,0
12372,2/1/2011,399.22,1,5,2,432.68,515.7,383.12,3,0,0
12372,5/1/2011,515.7,6,17,5,432.68,515.7,383.12,3,399.22,0
